starting process map1 with one V8 and 1 scene(s) from E:\VsCode\skynet\ets_runtime\configs/local/map1.json
scene map_1 (MapHost) listening on 127.0.0.1:7301
[process:map1] one V8 started with 1 scene(s)
[map_1] MapHost scene started at 127.0.0.1:7301
map_1 accepted 127.0.0.1:56117 as conn 1
map_1 accepted 127.0.0.1:56168 as conn 2
[map_1] perf_split_10_50_1_1783924754429 enter map 1 unit 1000
[map_1] perf_split_10_50_2_1783924754429 enter map 1 unit 1001
[map_1] perf_split_10_50_0_1783924754428 enter map 1 unit 1002
[map_1] perf_split_10_50_4_1783924754429 enter map 1 unit 1003
[map_1] perf_split_10_50_3_1783924754429 enter map 1 unit 1004
[map_1] perf_split_10_50_6_1783924754430 enter map 1 unit 1005
[map_1] perf_split_10_50_10_1783924754430 enter map 1 unit 1006
[map_1] perf_split_10_50_7_1783924754430 enter map 1 unit 1007
[map_1] perf_split_10_50_12_1783924754430 enter map 1 unit 1008
[map_1] perf_split_10_50_14_1783924754430 enter map 1 unit 1009
[map_1] perf_split_10_50_5_1783924754429 enter map 1 unit 1010
[map_1] perf_split_10_50_11_1783924754430 enter map 1 unit 1011
[map_1] perf_split_10_50_13_1783924754430 enter map 1 unit 1012
[map_1] perf_split_10_50_8_1783924754430 enter map 1 unit 1013
[map_1] perf_split_10_50_9_1783924754430 enter map 1 unit 1014
[map_1] perf_split_10_50_15_1783924754430 enter map 1 unit 1015
[map_1] perf_split_10_50_16_1783924754458 enter map 1 unit 1016
[map_1] perf_split_10_50_17_1783924754458 enter map 1 unit 1017
[map_1] perf_split_10_50_18_1783924754459 enter map 1 unit 1018
[map_1] perf_split_10_50_20_1783924754459 enter map 1 unit 1019
[map_1] perf_split_10_50_19_1783924754459 enter map 1 unit 1020
[map_1] perf_split_10_50_21_1783924754460 enter map 1 unit 1021
[map_1] perf_split_10_50_23_1783924754460 enter map 1 unit 1022
[map_1] perf_split_10_50_22_1783924754460 enter map 1 unit 1023
[map_1] perf_split_10_50_24_1783924754466 enter map 1 unit 1024
[map_1] perf_split_10_50_25_1783924754466 enter map 1 unit 1025
[map_1] perf_split_10_50_28_1783924754467 enter map 1 unit 1026
[map_1] perf_split_10_50_26_1783924754466 enter map 1 unit 1027
[map_1] perf_split_10_50_30_1783924754467 enter map 1 unit 1028
[map_1] perf_split_10_50_29_1783924754467 enter map 1 unit 1029
[map_1] perf_split_10_50_27_1783924754466 enter map 1 unit 1030
[map_1] perf_split_10_50_31_1783924754467 enter map 1 unit 1031
[map_1] perf_split_10_50_32_1783924754475 enter map 1 unit 1032
[map_1] perf_split_10_50_34_1783924754477 enter map 1 unit 1033
[map_1] perf_split_10_50_38_1783924754479 enter map 1 unit 1034
[map_1] perf_split_10_50_36_1783924754478 enter map 1 unit 1035
[map_1] perf_split_10_50_33_1783924754477 enter map 1 unit 1036
[map_1] perf_split_10_50_35_1783924754477 enter map 1 unit 1037
[map_1] perf_split_10_50_37_1783924754478 enter map 1 unit 1038
[map_1] perf_split_10_50_39_1783924754479 enter map 1 unit 1039
[map_1] perf_split_10_50_40_1783924754486 enter map 1 unit 1040
[map_1] perf_split_10_50_42_1783924754489 enter map 1 unit 1041
[map_1] perf_split_10_50_44_1783924754489 enter map 1 unit 1042
[map_1] perf_split_10_50_46_1783924754489 enter map 1 unit 1043
[map_1] perf_split_10_50_43_1783924754489 enter map 1 unit 1044
[map_1] perf_split_10_50_48_1783924754490 enter map 1 unit 1045
[map_1] perf_split_10_50_45_1783924754489 enter map 1 unit 1046
[map_1] perf_split_10_50_41_1783924754488 enter map 1 unit 1047
[map_1] perf_split_10_50_47_1783924754490 enter map 1 unit 1048
[map_1] perf_split_10_50_49_1783924754497 enter map 1 unit 1049
[metrics:inner_transport] active=1 opened=1 pending=0 max_pending=0 overloads=0 timeouts=0 disconnected_calls=0 late_responses=0 idle_closes=0
[process-metrics] process=map1 cpu_percent=0.00 cpu_time_ms=468 rss_bytes=45879296 v8_heap_used_bytes=5939888 v8_heap_total_bytes=12193792 v8_gc_count=64 v8_gc_ms=7.884
[metrics:map1] scene=map_1 type=MapHost processed=2250 failed=0 ts_queue=0 ts_max_queue=29 rust_queue=0 rust_max_queue=29 backpressure=0 slow_disconnects=0 update_ms=0.00 handler_ms=0.00 max_handler_ms=2.00 total_handler_ms=399.00
[map_1] perf_split_10_50_0_1783924754428 leave map 1 unit 1002
[map_1] perf_split_10_50_1_1783924754429 leave map 1 unit 1000
[map_1] perf_split_10_50_5_1783924754429 leave map 1 unit 1010
[map_1] perf_split_10_50_3_1783924754429 leave map 1 unit 1004
[map_1] perf_split_10_50_24_1783924754466 leave map 1 unit 1024
[map_1] perf_split_10_50_23_1783924754460 leave map 1 unit 1022
[map_1] perf_split_10_50_22_1783924754460 leave map 1 unit 1023
[map_1] perf_split_10_50_20_1783924754459 leave map 1 unit 1019
[map_1] perf_split_10_50_4_1783924754429 leave map 1 unit 1003
[map_1] perf_split_10_50_2_1783924754429 leave map 1 unit 1001
[map_1] perf_split_10_50_8_1783924754430 leave map 1 unit 1013
[map_1] perf_split_10_50_21_1783924754460 leave map 1 unit 1021
[map_1] perf_split_10_50_18_1783924754459 leave map 1 unit 1018
[map_1] perf_split_10_50_19_1783924754459 leave map 1 unit 1020
[map_1] perf_split_10_50_17_1783924754458 leave map 1 unit 1017
[map_1] perf_split_10_50_6_1783924754430 leave map 1 unit 1005
