starting process mgr with one V8 and 1 scene(s) from E:\VsCode\skynet\ets_runtime\configs/local/mgr.json
scene login_mgr (LoginMgr) listening on 127.0.0.1:7000
[process:mgr] one V8 started with 1 scene(s)
[login_mgr] LoginMgr scene started at 127.0.0.1:7000 with login scenes: login_1, login_2
login_mgr accepted 127.0.0.1:51190 as conn 1
login_mgr accepted 127.0.0.1:51197 as conn 2
login_mgr accepted 127.0.0.1:51198 as conn 3
login_mgr accepted 127.0.0.1:51199 as conn 4
login_mgr accepted 127.0.0.1:51200 as conn 5
login_mgr accepted 127.0.0.1:51201 as conn 6
login_mgr accepted 127.0.0.1:51202 as conn 7
login_mgr accepted 127.0.0.1:51203 as conn 8
login_mgr accepted 127.0.0.1:51204 as conn 9
login_mgr accepted 127.0.0.1:51205 as conn 10
login_mgr accepted 127.0.0.1:51206 as conn 11
login_mgr accepted 127.0.0.1:51207 as conn 12
login_mgr accepted 127.0.0.1:51208 as conn 13
login_mgr accepted 127.0.0.1:51209 as conn 14
login_mgr accepted 127.0.0.1:51210 as conn 15
login_mgr accepted 127.0.0.1:51211 as conn 16
login_mgr accepted 127.0.0.1:51212 as conn 17
login_mgr accepted 127.0.0.1:51250 as conn 18
login_mgr accepted 127.0.0.1:51251 as conn 19
login_mgr accepted 127.0.0.1:51252 as conn 20
login_mgr accepted 127.0.0.1:51253 as conn 21
login_mgr accepted 127.0.0.1:51262 as conn 22
login_mgr accepted 127.0.0.1:51265 as conn 23
login_mgr accepted 127.0.0.1:51266 as conn 24
login_mgr accepted 127.0.0.1:51267 as conn 25
login_mgr accepted 127.0.0.1:51268 as conn 26
login_mgr accepted 127.0.0.1:51269 as conn 27
login_mgr accepted 127.0.0.1:51270 as conn 28
login_mgr accepted 127.0.0.1:51271 as conn 29
login_mgr accepted 127.0.0.1:51272 as conn 30
login_mgr accepted 127.0.0.1:51273 as conn 31
login_mgr accepted 127.0.0.1:51274 as conn 32
login_mgr accepted 127.0.0.1:51275 as conn 33
login_mgr accepted 127.0.0.1:51287 as conn 34
login_mgr accepted 127.0.0.1:51300 as conn 35
login_mgr accepted 127.0.0.1:51301 as conn 36
login_mgr accepted 127.0.0.1:51302 as conn 37
login_mgr accepted 127.0.0.1:51303 as conn 38
login_mgr accepted 127.0.0.1:51313 as conn 39
login_mgr accepted 127.0.0.1:51318 as conn 40
login_mgr accepted 127.0.0.1:51320 as conn 41
login_mgr accepted 127.0.0.1:51322 as conn 42
login_mgr accepted 127.0.0.1:51329 as conn 43
login_mgr accepted 127.0.0.1:51330 as conn 44
login_mgr accepted 127.0.0.1:51331 as conn 45
login_mgr accepted 127.0.0.1:51338 as conn 46
login_mgr accepted 127.0.0.1:51339 as conn 47
login_mgr accepted 127.0.0.1:51340 as conn 48
login_mgr accepted 127.0.0.1:51341 as conn 49
login_mgr accepted 127.0.0.1:51346 as conn 50
login_mgr accepted 127.0.0.1:51347 as conn 51
login_mgr accepted 127.0.0.1:51348 as conn 52
login_mgr accepted 127.0.0.1:51349 as conn 53
login_mgr accepted 127.0.0.1:51350 as conn 54
login_mgr accepted 127.0.0.1:51361 as conn 55
login_mgr accepted 127.0.0.1:51369 as conn 56
login_mgr accepted 127.0.0.1:51370 as conn 57
login_mgr accepted 127.0.0.1:51371 as conn 58
login_mgr accepted 127.0.0.1:51372 as conn 59
login_mgr accepted 127.0.0.1:51373 as conn 60
login_mgr accepted 127.0.0.1:51374 as conn 61
login_mgr accepted 127.0.0.1:51388 as conn 62
login_mgr accepted 127.0.0.1:51391 as conn 63
login_mgr accepted 127.0.0.1:51392 as conn 64
login_mgr accepted 127.0.0.1:51393 as conn 65
login_mgr accepted 127.0.0.1:51395 as conn 66
login_mgr accepted 127.0.0.1:51396 as conn 67
login_mgr accepted 127.0.0.1:51397 as conn 68
login_mgr accepted 127.0.0.1:51398 as conn 69
login_mgr accepted 127.0.0.1:51399 as conn 70
login_mgr accepted 127.0.0.1:51400 as conn 71
login_mgr accepted 127.0.0.1:51422 as conn 72
login_mgr accepted 127.0.0.1:51423 as conn 73
login_mgr accepted 127.0.0.1:51428 as conn 74
login_mgr accepted 127.0.0.1:51429 as conn 75
login_mgr accepted 127.0.0.1:51430 as conn 76
login_mgr accepted 127.0.0.1:51431 as conn 77
login_mgr accepted 127.0.0.1:51432 as conn 78
login_mgr accepted 127.0.0.1:51451 as conn 79
login_mgr accepted 127.0.0.1:51454 as conn 80
login_mgr accepted 127.0.0.1:51455 as conn 81
login_mgr accepted 127.0.0.1:51456 as conn 82
login_mgr accepted 127.0.0.1:51457 as conn 83
login_mgr accepted 127.0.0.1:51458 as conn 84
login_mgr accepted 127.0.0.1:51460 as conn 85
login_mgr accepted 127.0.0.1:51461 as conn 86
login_mgr accepted 127.0.0.1:51462 as conn 87
login_mgr accepted 127.0.0.1:51466 as conn 88
login_mgr accepted 127.0.0.1:51467 as conn 89
login_mgr accepted 127.0.0.1:51491 as conn 90
login_mgr accepted 127.0.0.1:51492 as conn 91
login_mgr accepted 127.0.0.1:51535 as conn 92
login_mgr accepted 127.0.0.1:51536 as conn 93
login_mgr accepted 127.0.0.1:51537 as conn 94
login_mgr accepted 127.0.0.1:51538 as conn 95
login_mgr accepted 127.0.0.1:51586 as conn 96
login_mgr accepted 127.0.0.1:51752 as conn 97
login_mgr accepted 127.0.0.1:51753 as conn 98
login_mgr accepted 127.0.0.1:51754 as conn 99
login_mgr accepted 127.0.0.1:51755 as conn 100
login_mgr accepted 127.0.0.1:51756 as conn 101
[metrics:inner_transport] active=0 opened=0 pending=0 max_pending=0 overloads=0 timeouts=0 disconnected_calls=0 late_responses=0 idle_closes=0
[process-metrics] process=mgr cpu_percent=0.93 cpu_time_ms=109 rss_bytes=32567296 v8_heap_used_bytes=2628552 v8_heap_total_bytes=4853760 v8_gc_count=2 v8_gc_ms=0.744
[metrics:mgr] scene=login_mgr type=LoginMgr processed=100 failed=0 ts_queue=0 ts_max_queue=15 rust_queue=0 rust_max_queue=15 backpressure=0 slow_disconnects=0 update_ms=0.00 handler_ms=0.00 max_handler_ms=1.00 total_handler_ms=3.00
