starting process mgr with one V8 and 1 scene(s) from E:\VsCode\skynet\ets_runtime\configs/local/mgr.json
scene login_mgr (LoginMgr) listening on 127.0.0.1:7000
[process:mgr] one V8 started with 1 scene(s)
[login_mgr] LoginMgr scene started at 127.0.0.1:7000 with login scenes: login_1, login_2
login_mgr accepted 127.0.0.1:62748 as conn 1
login_mgr accepted 127.0.0.1:62755 as conn 2
login_mgr accepted 127.0.0.1:62756 as conn 3
login_mgr accepted 127.0.0.1:62757 as conn 4
login_mgr accepted 127.0.0.1:62758 as conn 5
login_mgr accepted 127.0.0.1:62759 as conn 6
login_mgr accepted 127.0.0.1:62760 as conn 7
login_mgr accepted 127.0.0.1:62761 as conn 8
login_mgr accepted 127.0.0.1:62762 as conn 9
login_mgr accepted 127.0.0.1:62763 as conn 10
login_mgr accepted 127.0.0.1:62764 as conn 11
login_mgr accepted 127.0.0.1:62765 as conn 12
login_mgr accepted 127.0.0.1:62766 as conn 13
login_mgr accepted 127.0.0.1:62767 as conn 14
login_mgr accepted 127.0.0.1:62768 as conn 15
login_mgr accepted 127.0.0.1:62769 as conn 16
login_mgr accepted 127.0.0.1:62770 as conn 17
login_mgr accepted 127.0.0.1:62808 as conn 18
login_mgr accepted 127.0.0.1:62809 as conn 19
login_mgr accepted 127.0.0.1:62814 as conn 20
login_mgr accepted 127.0.0.1:62815 as conn 21
login_mgr accepted 127.0.0.1:62816 as conn 22
login_mgr accepted 127.0.0.1:62817 as conn 23
login_mgr accepted 127.0.0.1:62818 as conn 24
login_mgr accepted 127.0.0.1:62819 as conn 25
login_mgr accepted 127.0.0.1:62832 as conn 26
login_mgr accepted 127.0.0.1:62833 as conn 27
login_mgr accepted 127.0.0.1:62838 as conn 28
login_mgr accepted 127.0.0.1:62839 as conn 29
login_mgr accepted 127.0.0.1:62840 as conn 30
login_mgr accepted 127.0.0.1:62841 as conn 31
login_mgr accepted 127.0.0.1:62842 as conn 32
login_mgr accepted 127.0.0.1:62843 as conn 33
login_mgr accepted 127.0.0.1:62844 as conn 34
login_mgr accepted 127.0.0.1:62845 as conn 35
login_mgr accepted 127.0.0.1:62862 as conn 36
login_mgr accepted 127.0.0.1:62864 as conn 37
login_mgr accepted 127.0.0.1:62865 as conn 38
login_mgr accepted 127.0.0.1:62866 as conn 39
login_mgr accepted 127.0.0.1:62867 as conn 40
login_mgr accepted 127.0.0.1:62873 as conn 41
login_mgr accepted 127.0.0.1:62880 as conn 42
login_mgr accepted 127.0.0.1:62881 as conn 43
login_mgr accepted 127.0.0.1:62886 as conn 44
login_mgr accepted 127.0.0.1:62887 as conn 45
login_mgr accepted 127.0.0.1:62891 as conn 46
login_mgr accepted 127.0.0.1:62892 as conn 47
login_mgr accepted 127.0.0.1:62893 as conn 48
login_mgr accepted 127.0.0.1:62894 as conn 49
login_mgr accepted 127.0.0.1:62895 as conn 50
login_mgr accepted 127.0.0.1:62896 as conn 51
login_mgr accepted 127.0.0.1:62906 as conn 52
login_mgr accepted 127.0.0.1:62913 as conn 53
login_mgr accepted 127.0.0.1:62914 as conn 54
login_mgr accepted 127.0.0.1:62915 as conn 55
login_mgr accepted 127.0.0.1:62916 as conn 56
login_mgr accepted 127.0.0.1:62917 as conn 57
login_mgr accepted 127.0.0.1:62918 as conn 58
login_mgr accepted 127.0.0.1:62919 as conn 59
login_mgr accepted 127.0.0.1:62934 as conn 60
login_mgr accepted 127.0.0.1:62937 as conn 61
login_mgr accepted 127.0.0.1:62938 as conn 62
login_mgr accepted 127.0.0.1:62939 as conn 63
login_mgr accepted 127.0.0.1:62940 as conn 64
login_mgr accepted 127.0.0.1:62941 as conn 65
login_mgr accepted 127.0.0.1:62942 as conn 66
login_mgr accepted 127.0.0.1:62943 as conn 67
login_mgr accepted 127.0.0.1:62944 as conn 68
login_mgr accepted 127.0.0.1:62961 as conn 69
login_mgr accepted 127.0.0.1:62964 as conn 70
login_mgr accepted 127.0.0.1:62965 as conn 71
login_mgr accepted 127.0.0.1:62966 as conn 72
login_mgr accepted 127.0.0.1:62967 as conn 73
login_mgr accepted 127.0.0.1:62968 as conn 74
login_mgr accepted 127.0.0.1:62969 as conn 75
login_mgr accepted 127.0.0.1:62970 as conn 76
login_mgr accepted 127.0.0.1:62985 as conn 77
login_mgr accepted 127.0.0.1:62988 as conn 78
login_mgr accepted 127.0.0.1:62989 as conn 79
login_mgr accepted 127.0.0.1:62990 as conn 80
login_mgr accepted 127.0.0.1:62991 as conn 81
login_mgr accepted 127.0.0.1:62992 as conn 82
login_mgr accepted 127.0.0.1:62993 as conn 83
login_mgr accepted 127.0.0.1:62994 as conn 84
login_mgr accepted 127.0.0.1:62995 as conn 85
login_mgr accepted 127.0.0.1:63012 as conn 86
login_mgr accepted 127.0.0.1:63015 as conn 87
login_mgr accepted 127.0.0.1:63016 as conn 88
login_mgr accepted 127.0.0.1:63017 as conn 89
login_mgr accepted 127.0.0.1:63018 as conn 90
login_mgr accepted 127.0.0.1:63019 as conn 91
login_mgr accepted 127.0.0.1:63020 as conn 92
login_mgr accepted 127.0.0.1:63021 as conn 93
login_mgr accepted 127.0.0.1:63036 as conn 94
login_mgr accepted 127.0.0.1:63039 as conn 95
login_mgr accepted 127.0.0.1:63040 as conn 96
login_mgr accepted 127.0.0.1:63041 as conn 97
login_mgr accepted 127.0.0.1:63042 as conn 98
login_mgr accepted 127.0.0.1:63043 as conn 99
login_mgr accepted 127.0.0.1:63044 as conn 100
login_mgr accepted 127.0.0.1:63045 as conn 101
[metrics:inner_transport] active=0 opened=0 pending=0 max_pending=0 overloads=0 timeouts=0 disconnected_calls=0 late_responses=0 idle_closes=0
[metrics:mgr] scene=login_mgr type=LoginMgr processed=100 failed=0 ts_queue=0 ts_max_queue=5 rust_queue=0 rust_max_queue=5 backpressure=0 slow_disconnects=0 update_ms=0.00 handler_ms=0.00 max_handler_ms=1.00 total_handler_ms=2.00
[metrics:inner_transport] active=0 opened=0 pending=0 max_pending=0 overloads=0 timeouts=0 disconnected_calls=0 late_responses=0 idle_closes=0
[metrics:mgr] scene=login_mgr type=LoginMgr processed=100 failed=0 ts_queue=0 ts_max_queue=5 rust_queue=0 rust_max_queue=5 backpressure=0 slow_disconnects=0 update_ms=0.00 handler_ms=0.00 max_handler_ms=1.00 total_handler_ms=2.00
