starting process mgr with one V8 and 1 scene(s) from E:\VsCode\skynet\ets_runtime\configs/local/mgr.json
scene login_mgr (LoginMgr) listening on 127.0.0.1:7000
[process:mgr] one V8 started with 1 scene(s)
[login_mgr] LoginMgr scene started at 127.0.0.1:7000 with login scenes: login_1, login_2
login_mgr accepted 127.0.0.1:63156 as conn 1
login_mgr accepted 127.0.0.1:63164 as conn 2
login_mgr accepted 127.0.0.1:63165 as conn 3
login_mgr accepted 127.0.0.1:63166 as conn 4
login_mgr accepted 127.0.0.1:63167 as conn 5
login_mgr accepted 127.0.0.1:63168 as conn 6
login_mgr accepted 127.0.0.1:63169 as conn 7
login_mgr accepted 127.0.0.1:63170 as conn 8
login_mgr accepted 127.0.0.1:63171 as conn 9
login_mgr accepted 127.0.0.1:63172 as conn 10
login_mgr accepted 127.0.0.1:63173 as conn 11
login_mgr accepted 127.0.0.1:63174 as conn 12
login_mgr accepted 127.0.0.1:63175 as conn 13
login_mgr accepted 127.0.0.1:63176 as conn 14
login_mgr accepted 127.0.0.1:63177 as conn 15
login_mgr accepted 127.0.0.1:63178 as conn 16
login_mgr accepted 127.0.0.1:63179 as conn 17
login_mgr accepted 127.0.0.1:63217 as conn 18
login_mgr accepted 127.0.0.1:63220 as conn 19
login_mgr accepted 127.0.0.1:63222 as conn 20
login_mgr accepted 127.0.0.1:63223 as conn 21
login_mgr accepted 127.0.0.1:63224 as conn 22
login_mgr accepted 127.0.0.1:63225 as conn 23
login_mgr accepted 127.0.0.1:63226 as conn 24
login_mgr accepted 127.0.0.1:63227 as conn 25
login_mgr accepted 127.0.0.1:63228 as conn 26
login_mgr accepted 127.0.0.1:63229 as conn 27
login_mgr accepted 127.0.0.1:63230 as conn 28
login_mgr accepted 127.0.0.1:63231 as conn 29
login_mgr accepted 127.0.0.1:63232 as conn 30
login_mgr accepted 127.0.0.1:63233 as conn 31
login_mgr accepted 127.0.0.1:63234 as conn 32
login_mgr accepted 127.0.0.1:63235 as conn 33
login_mgr accepted 127.0.0.1:63236 as conn 34
login_mgr accepted 127.0.0.1:63264 as conn 35
login_mgr accepted 127.0.0.1:63271 as conn 36
login_mgr accepted 127.0.0.1:63272 as conn 37
login_mgr accepted 127.0.0.1:63273 as conn 38
login_mgr accepted 127.0.0.1:63274 as conn 39
login_mgr accepted 127.0.0.1:63275 as conn 40
login_mgr accepted 127.0.0.1:63276 as conn 41
login_mgr accepted 127.0.0.1:63289 as conn 42
login_mgr accepted 127.0.0.1:63290 as conn 43
login_mgr accepted 127.0.0.1:63291 as conn 44
login_mgr accepted 127.0.0.1:63292 as conn 45
login_mgr accepted 127.0.0.1:63293 as conn 46
login_mgr accepted 127.0.0.1:63294 as conn 47
login_mgr accepted 127.0.0.1:63295 as conn 48
login_mgr accepted 127.0.0.1:63296 as conn 49
login_mgr accepted 127.0.0.1:63297 as conn 50
login_mgr accepted 127.0.0.1:63298 as conn 51
login_mgr accepted 127.0.0.1:63316 as conn 52
login_mgr accepted 127.0.0.1:63320 as conn 53
login_mgr accepted 127.0.0.1:63321 as conn 54
login_mgr accepted 127.0.0.1:63322 as conn 55
login_mgr accepted 127.0.0.1:63323 as conn 56
login_mgr accepted 127.0.0.1:63324 as conn 57
login_mgr accepted 127.0.0.1:63337 as conn 58
login_mgr accepted 127.0.0.1:63339 as conn 59
login_mgr accepted 127.0.0.1:63340 as conn 60
login_mgr accepted 127.0.0.1:63341 as conn 61
login_mgr accepted 127.0.0.1:63343 as conn 62
login_mgr accepted 127.0.0.1:63344 as conn 63
login_mgr accepted 127.0.0.1:63345 as conn 64
login_mgr accepted 127.0.0.1:63359 as conn 65
login_mgr accepted 127.0.0.1:63360 as conn 66
login_mgr accepted 127.0.0.1:63361 as conn 67
login_mgr accepted 127.0.0.1:63365 as conn 68
login_mgr accepted 127.0.0.1:63366 as conn 69
login_mgr accepted 127.0.0.1:63367 as conn 70
login_mgr accepted 127.0.0.1:63368 as conn 71
login_mgr accepted 127.0.0.1:63369 as conn 72
login_mgr accepted 127.0.0.1:63370 as conn 73
login_mgr accepted 127.0.0.1:63386 as conn 74
login_mgr accepted 127.0.0.1:63388 as conn 75
login_mgr accepted 127.0.0.1:63389 as conn 76
login_mgr accepted 127.0.0.1:63390 as conn 77
login_mgr accepted 127.0.0.1:63391 as conn 78
login_mgr accepted 127.0.0.1:63392 as conn 79
login_mgr accepted 127.0.0.1:63393 as conn 80
login_mgr accepted 127.0.0.1:63407 as conn 81
login_mgr accepted 127.0.0.1:63410 as conn 82
login_mgr accepted 127.0.0.1:63411 as conn 83
login_mgr accepted 127.0.0.1:63412 as conn 84
login_mgr accepted 127.0.0.1:63413 as conn 85
login_mgr accepted 127.0.0.1:63414 as conn 86
login_mgr accepted 127.0.0.1:63415 as conn 87
login_mgr accepted 127.0.0.1:63416 as conn 88
login_mgr accepted 127.0.0.1:63417 as conn 89
login_mgr accepted 127.0.0.1:63434 as conn 90
login_mgr accepted 127.0.0.1:63437 as conn 91
login_mgr accepted 127.0.0.1:63438 as conn 92
login_mgr accepted 127.0.0.1:63439 as conn 93
login_mgr accepted 127.0.0.1:63440 as conn 94
login_mgr accepted 127.0.0.1:63441 as conn 95
login_mgr accepted 127.0.0.1:63442 as conn 96
login_mgr accepted 127.0.0.1:63455 as conn 97
login_mgr accepted 127.0.0.1:63457 as conn 98
login_mgr accepted 127.0.0.1:63458 as conn 99
login_mgr accepted 127.0.0.1:63459 as conn 100
login_mgr accepted 127.0.0.1:63460 as conn 101
[metrics:inner_transport] active=0 opened=0 pending=0 max_pending=0 overloads=0 timeouts=0 disconnected_calls=0 late_responses=0 idle_closes=0
[metrics:mgr] scene=login_mgr type=LoginMgr processed=100 failed=0 ts_queue=0 ts_max_queue=5 rust_queue=0 rust_max_queue=3 backpressure=0 slow_disconnects=0 update_ms=0.00 handler_ms=0.00 max_handler_ms=1.00 total_handler_ms=3.00
[metrics:inner_transport] active=0 opened=0 pending=0 max_pending=0 overloads=0 timeouts=0 disconnected_calls=0 late_responses=0 idle_closes=0
[metrics:mgr] scene=login_mgr type=LoginMgr processed=100 failed=0 ts_queue=0 ts_max_queue=5 rust_queue=0 rust_max_queue=3 backpressure=0 slow_disconnects=0 update_ms=0.00 handler_ms=0.00 max_handler_ms=1.00 total_handler_ms=3.00
