starting process mgr with one V8 and 1 scene(s) from E:\VsCode\skynet\ets_runtime\perf\results\runtime_configs\map_capacity_20260713_082359\180p_8g_r3\mgr.json
scene login_mgr (LoginMgr) listening on 127.0.0.1:7000
[process:mgr] one V8 started with 1 scene(s)
[login_mgr] LoginMgr scene started at 127.0.0.1:7000 with login scenes: login_1
login_mgr accepted 127.0.0.1:51042 as conn 1
login_mgr accepted 127.0.0.1:51054 as conn 2
login_mgr accepted 127.0.0.1:51055 as conn 3
login_mgr accepted 127.0.0.1:51056 as conn 4
login_mgr accepted 127.0.0.1:51057 as conn 5
login_mgr accepted 127.0.0.1:51058 as conn 6
login_mgr accepted 127.0.0.1:51059 as conn 7
login_mgr accepted 127.0.0.1:51060 as conn 8
login_mgr accepted 127.0.0.1:51061 as conn 9
login_mgr accepted 127.0.0.1:51062 as conn 10
login_mgr accepted 127.0.0.1:51063 as conn 11
login_mgr accepted 127.0.0.1:51064 as conn 12
login_mgr accepted 127.0.0.1:51065 as conn 13
login_mgr accepted 127.0.0.1:51066 as conn 14
login_mgr accepted 127.0.0.1:51067 as conn 15
login_mgr accepted 127.0.0.1:51068 as conn 16
login_mgr accepted 127.0.0.1:51069 as conn 17
login_mgr accepted 127.0.0.1:51120 as conn 18
login_mgr accepted 127.0.0.1:51129 as conn 19
login_mgr accepted 127.0.0.1:51133 as conn 20
login_mgr accepted 127.0.0.1:51134 as conn 21
login_mgr accepted 127.0.0.1:51137 as conn 22
login_mgr accepted 127.0.0.1:51138 as conn 23
login_mgr accepted 127.0.0.1:51139 as conn 24
login_mgr accepted 127.0.0.1:51140 as conn 25
login_mgr accepted 127.0.0.1:51141 as conn 26
login_mgr accepted 127.0.0.1:51142 as conn 27
login_mgr accepted 127.0.0.1:51143 as conn 28
login_mgr accepted 127.0.0.1:51144 as conn 29
login_mgr accepted 127.0.0.1:51145 as conn 30
login_mgr accepted 127.0.0.1:51146 as conn 31
login_mgr accepted 127.0.0.1:51147 as conn 32
login_mgr accepted 127.0.0.1:51151 as conn 33
login_mgr accepted 127.0.0.1:51177 as conn 34
login_mgr accepted 127.0.0.1:51180 as conn 35
login_mgr accepted 127.0.0.1:51181 as conn 36
login_mgr accepted 127.0.0.1:51182 as conn 37
login_mgr accepted 127.0.0.1:51183 as conn 38
login_mgr accepted 127.0.0.1:51189 as conn 39
login_mgr accepted 127.0.0.1:51190 as conn 40
login_mgr accepted 127.0.0.1:51198 as conn 41
login_mgr accepted 127.0.0.1:51199 as conn 42
login_mgr accepted 127.0.0.1:51200 as conn 43
login_mgr accepted 127.0.0.1:51201 as conn 44
login_mgr accepted 127.0.0.1:51202 as conn 45
login_mgr accepted 127.0.0.1:51203 as conn 46
login_mgr accepted 127.0.0.1:51204 as conn 47
login_mgr accepted 127.0.0.1:51205 as conn 48
login_mgr accepted 127.0.0.1:51206 as conn 49
login_mgr accepted 127.0.0.1:51207 as conn 50
login_mgr accepted 127.0.0.1:51215 as conn 51
login_mgr accepted 127.0.0.1:51217 as conn 52
login_mgr accepted 127.0.0.1:51222 as conn 53
login_mgr accepted 127.0.0.1:51223 as conn 54
login_mgr accepted 127.0.0.1:51235 as conn 55
login_mgr accepted 127.0.0.1:51237 as conn 56
login_mgr accepted 127.0.0.1:51246 as conn 57
login_mgr accepted 127.0.0.1:51250 as conn 58
login_mgr accepted 127.0.0.1:51251 as conn 59
login_mgr accepted 127.0.0.1:51252 as conn 60
login_mgr accepted 127.0.0.1:51255 as conn 61
login_mgr accepted 127.0.0.1:51256 as conn 62
login_mgr accepted 127.0.0.1:51257 as conn 63
login_mgr accepted 127.0.0.1:51259 as conn 64
login_mgr accepted 127.0.0.1:51261 as conn 65
login_mgr accepted 127.0.0.1:51262 as conn 66
login_mgr accepted 127.0.0.1:51263 as conn 67
login_mgr accepted 127.0.0.1:51264 as conn 68
login_mgr accepted 127.0.0.1:51269 as conn 69
login_mgr accepted 127.0.0.1:51274 as conn 70
login_mgr accepted 127.0.0.1:51276 as conn 71
login_mgr accepted 127.0.0.1:51277 as conn 72
login_mgr accepted 127.0.0.1:51280 as conn 73
login_mgr accepted 127.0.0.1:51289 as conn 74
login_mgr accepted 127.0.0.1:51295 as conn 75
login_mgr accepted 127.0.0.1:51297 as conn 76
login_mgr accepted 127.0.0.1:51301 as conn 77
login_mgr accepted 127.0.0.1:51305 as conn 78
login_mgr accepted 127.0.0.1:51306 as conn 79
login_mgr accepted 127.0.0.1:51308 as conn 80
login_mgr accepted 127.0.0.1:51309 as conn 81
login_mgr accepted 127.0.0.1:51311 as conn 82
login_mgr accepted 127.0.0.1:51315 as conn 83
login_mgr accepted 127.0.0.1:51317 as conn 84
login_mgr accepted 127.0.0.1:51318 as conn 85
login_mgr accepted 127.0.0.1:51321 as conn 86
login_mgr accepted 127.0.0.1:51323 as conn 87
login_mgr accepted 127.0.0.1:51324 as conn 88
login_mgr accepted 127.0.0.1:51325 as conn 89
login_mgr accepted 127.0.0.1:51338 as conn 90
login_mgr accepted 127.0.0.1:51340 as conn 91
login_mgr accepted 127.0.0.1:51343 as conn 92
login_mgr accepted 127.0.0.1:51350 as conn 93
login_mgr accepted 127.0.0.1:51353 as conn 94
login_mgr accepted 127.0.0.1:51354 as conn 95
login_mgr accepted 127.0.0.1:51356 as conn 96
login_mgr accepted 127.0.0.1:51357 as conn 97
login_mgr accepted 127.0.0.1:51360 as conn 98
login_mgr accepted 127.0.0.1:51364 as conn 99
login_mgr accepted 127.0.0.1:51367 as conn 100
login_mgr accepted 127.0.0.1:51374 as conn 101
login_mgr accepted 127.0.0.1:51375 as conn 102
login_mgr accepted 127.0.0.1:51376 as conn 103
login_mgr accepted 127.0.0.1:51377 as conn 104
login_mgr accepted 127.0.0.1:51381 as conn 105
login_mgr accepted 127.0.0.1:51383 as conn 106
login_mgr accepted 127.0.0.1:51388 as conn 107
login_mgr accepted 127.0.0.1:51389 as conn 108
login_mgr accepted 127.0.0.1:51394 as conn 109
login_mgr accepted 127.0.0.1:51402 as conn 110
login_mgr accepted 127.0.0.1:51403 as conn 111
login_mgr accepted 127.0.0.1:51406 as conn 112
login_mgr accepted 127.0.0.1:51407 as conn 113
login_mgr accepted 127.0.0.1:51408 as conn 114
login_mgr accepted 127.0.0.1:51413 as conn 115
login_mgr accepted 127.0.0.1:51414 as conn 116
login_mgr accepted 127.0.0.1:51416 as conn 117
login_mgr accepted 127.0.0.1:51420 as conn 118
login_mgr accepted 127.0.0.1:51425 as conn 119
login_mgr accepted 127.0.0.1:51426 as conn 120
login_mgr accepted 127.0.0.1:51427 as conn 121
login_mgr accepted 127.0.0.1:51432 as conn 122
login_mgr accepted 127.0.0.1:51434 as conn 123
login_mgr accepted 127.0.0.1:51435 as conn 124
login_mgr accepted 127.0.0.1:51436 as conn 125
login_mgr accepted 127.0.0.1:51446 as conn 126
login_mgr accepted 127.0.0.1:51449 as conn 127
login_mgr accepted 127.0.0.1:51450 as conn 128
login_mgr accepted 127.0.0.1:51454 as conn 129
login_mgr accepted 127.0.0.1:51455 as conn 130
login_mgr accepted 127.0.0.1:51459 as conn 131
login_mgr accepted 127.0.0.1:51464 as conn 132
login_mgr accepted 127.0.0.1:51465 as conn 133
login_mgr accepted 127.0.0.1:51466 as conn 134
login_mgr accepted 127.0.0.1:51474 as conn 135
login_mgr accepted 127.0.0.1:51479 as conn 136
login_mgr accepted 127.0.0.1:51480 as conn 137
login_mgr accepted 127.0.0.1:51490 as conn 138
login_mgr accepted 127.0.0.1:51491 as conn 139
login_mgr accepted 127.0.0.1:51492 as conn 140
login_mgr accepted 127.0.0.1:51494 as conn 141
login_mgr accepted 127.0.0.1:51499 as conn 142
login_mgr accepted 127.0.0.1:51502 as conn 143
login_mgr accepted 127.0.0.1:51506 as conn 144
login_mgr accepted 127.0.0.1:51514 as conn 145
login_mgr accepted 127.0.0.1:51515 as conn 146
login_mgr accepted 127.0.0.1:51516 as conn 147
login_mgr accepted 127.0.0.1:51517 as conn 148
login_mgr accepted 127.0.0.1:51519 as conn 149
